ip_addr,serial_num,Chain SN,MAC,Customer,Area,Racks,Model,Network,Fault Type,Fault cause,Work Mode,Ideal Hashrate,Real-time,Hashrate,Mining pool 1,Sub-account 1,Status 1,Mining pool 2,Sub-account 2,Status 2,Mining pool 3,Sub-account 3,Status 3,Firmware Version,Fan Speed,Hashboard,Temp,Running Time,Monitoring time
10.202.23.35,FXDZDXCBBJDBB05HS,"FXDZYNSBBJDBB0E2W,FXDZYNSBBJDBB0E37,FXDZYNSBBJDBB0FJ4",02:A1:21:91:79:DC,,,,S19j Pro-96T,Offline,,,Normal,96000GH,99637.74GH,98078.07GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x35,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x35,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x35,Alive,20220427,"4980,4920,4980,5040",3,"44,45,45",20h20m44s,2023-05-18 19:23:27
10.202.23.36,HQDZDXCBBJDJH05FR,"HQDZYNSBBJDJH0DX7,HQDZYNSBBJDJH0DTY,HQDZYNSBBJDJH0D81",3C:A3:08:5C:A2:1F,,,,S19j Pro-96T,Offline,,,Normal,96000GH,91545.34GH,89944.91GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x36,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x36,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x36,Alive,20220121,"5310,5310,5340,5340",3,"44,44,42",20h20m35s,2023-05-18 19:23:27
10.202.23.37,HQDZDXCBBJDJH02G9,"HQDZYNSBBJDJH0ANW,HQDZYNSBBJDJH05VW,HQDZYNSBBJDJH05VR",02:21:C9:E9:9A:C3,,,,S19j Pro-96T,Offline,,,Normal,96000GH,100715.27GH,98092.77GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x37,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x37,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x37,Alive,20220120,"5970,6000,6000,6000",3,"44,46,46",20h20m45s,2023-05-18 19:23:27
10.202.23.38,YDFTDXCBBJCJA03MF,"YDFTYNSBBJCJA04AV,YDFTYNSBBJCJA0L28,YDFTYNSBBJCJA04AW",02:D8:D9:40:CD:46,,,,S19j Pro-96T,Offline,,,Normal,96000GH,97042.9GH,98076.46GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x38,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x38,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x38,Alive,20220120,"6000,6000,5010,5010",3,"43,42,45",20h20m45s,2023-05-18 19:23:27
10.202.23.39,HQDZDXCBBJDJH04XR,"HQDZYNSBBJDJH0HCK,HQDZYNSBBJDJH0DDD,HQDZYNSBBJDJH0HRY",64:CF:D9:EE:A2:5B,,,,S19j Pro-96T,Offline,,,Normal,96000GH,98010.47GH,98056.78GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x39,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x39,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x39,Alive,20220121,"5820,5820,5880,5880",3,"44,42,43",20h20m36s,2023-05-18 19:23:27
10.202.23.4,HYDT67ABAJIAA00ER,"HYDTYI3BAJIAA00W3,HYDTYI3BAJIAA0100,HYDTYI3BAJIAA002D",A8:77:0B:8C:60:47,,,,S19 Pro-110T,Offline,,,Normal,110000GH,114063.34GH,111823.24GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x4,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x4,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x4,Alive,20210419,"4560,4560,5160,5160",3,"40,38,38",21h1m10s,2023-05-18 19:23:10
10.202.23.40,HQDZDXCBBJDJH01B9,"HQDZYNSBBJDJH05L9,HQDZYNSBBJDJH05L5,HQDZYNSBBJDJH0343",02:B3:77:B9:4F:D7,,,,S19j Pro-96T,Offline,,,Normal,96000GH,100407.4GH,98040.26GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x40,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x40,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x40,Dead,20220120,"5550,5490,5580,5730",3,"45,45,45",20h20m45s,2023-05-18 19:23:28
10.202.23.41,HQDZDXCBBJDJH00Y7,"HQDZYNSBBJDJH054J,HQDZYNSBBJDJH056M,HQDZYNSBBJDJH01FV",02:33:DF:9B:0F:D8,,,,S19j Pro-96T,Offline,,,Normal,96000GH,95393.63GH,98066.58GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x41,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x41,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x41,Alive,20220120,"5250,5340,5310,5340",3,"44,43,45",20h20m45s,2023-05-18 19:23:28
10.202.23.42,HQDZDXCBBJDJH030E,"HQDZYNSBBJDJH0A9V,HQDZYNSBBJDJH0ACT,HQDZYNSBBJDJH0AAJ",02:99:B3:81:56:DA,,,,S19j Pro-96T,Offline,,,Normal,96000GH,95261.69GH,98094.38GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x42,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x42,Dead,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x42,Dead,20220120,"5760,5700,5940,5730",3,"43,44,43",20h20m46s,2023-05-18 19:23:28
10.202.23.43,HQDZDXCBBJDJH0368,"HQDZYNSBBJDJH0AB8,HQDZYNSBBJDJH0AAT,HQDZYNSBBJDJH099E",02:A1:63:B7:9B:4F,,,,S19j Pro-96T,Offline,,,Normal,96000GH,99307.89GH,98060.51GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x43,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x43,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x43,Alive,20220120,"5070,5100,5160,5130",3,"44,44,43",20h20m46s,2023-05-18 19:23:28
10.202.23.44,HQDZDXCBBJDJH01W5,"HQDZYNSBBJDJH06CP,HQDZYNSBBJDJH06CG,HQDZYNSBBJDJH06CK",02:91:67:FE:CF:7B,,,,S19j Pro-100T,Offline,,,Normal,100000GH,103859.87GH,101888.18GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x44,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x44,Dead,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x44,Dead,20220120,"5550,5640,5700,5700",3,"45,43,45",20h20m46s,2023-05-18 19:23:28
10.202.23.45,HQDZDXCBBJEBC0JHM,"HQDZYNSBBJEBC03R5,HQDZYNSBBJEBC03R6,HQDZYNSBBJEBC03FT",02:54:86:B2:E0:E6,,,,S19j Pro-96T,Offline,,,Normal,96000GH,97174.84GH,98049.61GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.202x23x45,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.202x23x45,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.202x23x45,Alive,20220427,"5940,5880,6000,6000",3,"44,45,44",20h20m46s,2023-05-18 19:23:28
